Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C6, C7, C9",0603,6,0.1uF,
"C10, C4, C5, C8",0603,4,22uF,
C3,0603,1,1uF,
D1,0805,1,PWR,
D2,0805,1,Port1,
D3,0805,1,BT DISC,
"D4, D5",D_SOD-123,2,1N5819,
F1,1206,1,50mA,
J1,USB_Mini-B_Lumberg_2486_01_Horizontal,1,USB_B_Mini,
J2,DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm,1,MSX Port1,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Fuse Bypass,
"JP2, JP4",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Open,
"Q1, Q2",SOT-23,2,S8050,
"R1, R2",0603,2,1K,
"R10, R5, R9",0603,3,3.3K,
"R11, R3, R4, R8",0603,4,10K,
"R12, R6",0603,2,3.3K,C4310
R7,0603,1,1K,C4310
SW1,SK12D07VG4,1,SK12D07VG4,
SW2,SW_SPST_TL3342,1,RESET,
SW3,SW_SPST_TL3342,1,BOOT,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,ESP32-WROOM-32E,1,ESP32-WROOM-32E,C701341
"U4, U5",SOIC-14_3.9x8.7mm_P1.27mm,2,74LS03,
