Designator,Mid X,Mid Y,Rotation,Layer
C1,152.185,-122.08,0.0,bottom
C10,129.91,-84.61,90.0,bottom
C11,133.91,-124.27,180.0,top
C12,149.8625,-124.07,180.0,top
C3,152.185,-125.07,0.0,bottom
C4,134.8325,-111.68,0.0,bottom
C5,139.2975,-111.7,180.0,bottom
C6,123.5,-84.6,270.0,bottom
C7,166.84,-84.7175,270.0,bottom
C8,141.4875,-84.98,180.0,bottom
C9,132.63,-84.61,270.0,bottom
D1,165.09,-112.51,180.0,top
D2,165.09,-116.43,180.0,top
D3,165.09,-120.35,180.0,top
D4,135.47,-106.99,90.0,bottom
D5,131.5,-106.99,90.0,bottom
F1,132.2875,-129.18,0.0,bottom
J1,128.145,-97.37,270.0,top
J2,145.225,-142.100331,0.0,top
JP1,124.49,-108.94,0.0,top
Q1,164.95,-105.8325,270.0,bottom
Q2,159.48,-105.9025,270.0,bottom
R1,142.92,-118.62,180.0,bottom
R10,160.63,-103.545,0.0,top
R11,160.63,-107.24,0.0,top
R12,130.23,-111.12,90.0,top
R2,142.92,-115.77,180.0,bottom
R3,165.16,-112.365,0.0,bottom
R4,160.21,-112.355,0.0,bottom
R5,160.21,-115.9733,0.0,bottom
R6,160.21,-119.5917,0.0,bottom
R7,160.21,-123.21,0.0,bottom
R8,132.61,-88.6,270.0,bottom
R9,160.63,-92.58,0.0,top
SW1,123.41,-118.58,270.0,top
SW2,128.91,-85.56,0.0,top
SW3,161.53,-85.56,0.0,top
U1,152.185,-114.525,90.0,bottom
U2,133.24,-118.39,90.0,bottom
U3,145.22,-87.69,0.0,top
U4,137.315,-118.05,90.0,top
U5,153.185,-117.88,90.0,top
